Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,Plays,NameASCII,PlayerId,MLBAMID
2002,"Roberto Alomar","NYM","2B",147,146,1272.2,275,348,11,8,3,86,33,57,8,,,,,,0,"Roberto Alomar",860,110183
2002,"Jeromy Burnitz","NYM","RF",140,131,1148,249,7,9,8,1,0,0,0,0,,,,,,0,"Jeromy Burnitz",867,111742
2002,"Roger Cedeno","NYM","LF",132,125,1087.1,223,2,8,7,1,0,1,0,0,,,,,,0,"Roger Cedeno",869,112155
2002,"Joe McEwing","NYM","1B",20,2,50.1,45,4,0,0,0,5,0,0,5,3,,,,,0,"Joe McEwing",887,136607
2002,"Joe McEwing","NYM","2B",13,4,53,13,13,0,0,0,2,1,1,0,,,,,,0,"Joe McEwing",887,136607
2002,"Joe McEwing","NYM","3B",10,5,54.2,5,13,2,1,1,1,2,0,0,,,,,,0,"Joe McEwing",887,136607
2002,"Joe McEwing","NYM","CF",1,1,9,4,0,0,0,0,0,0,0,0,,,,,,0,"Joe McEwing",887,136607
2002,"Joe McEwing","NYM","LF",10,4,39.1,11,0,0,0,0,0,1,0,1,,,,,,0,"Joe McEwing",887,136607
2002,"Joe McEwing","NYM","RF",24,15,118.2,33,0,0,0,0,0,0,0,0,,,,,,0,"Joe McEwing",887,136607
2002,"Joe McEwing","NYM","SS",21,10,109,17,40,5,1,4,3,2,1,0,,,,,,0,"Joe McEwing",887,136607
2002,"Rey Ordonez","NYM","SS",142,134,1167.1,209,389,19,12,7,73,39,36,8,,,,,,0,"Rey Ordonez",889,120045
2002,"Jay Payton","COL","CF",16,15,120,42,1,0,0,0,0,1,0,0,,,,,,0,"Jay Payton",890,134341
2002,"Jay Payton","NYM","CF",82,68,625.2,167,5,1,1,0,0,0,0,0,,,,,,0,"Jay Payton",890,134341
2002,"Jay Payton","COL","LF",32,25,225.2,44,2,0,0,0,0,0,0,0,,,,,,0,"Jay Payton",890,134341
2002,"Jay Payton","COL","RF",2,1,3.1,1,0,0,0,0,0,0,0,0,,,,,,0,"Jay Payton",890,134341
