Year,TeamID,OFF_DEF,H_A,Bathand,HR
1880,CHN,DEF,H,R,0
1880,CHN,DEF,H,U,0
1880,CHN,DEF,A,L,2
1880,CHN,DEF,A,R,6
1880,CHN,DEF,A,U,0
1880,CL2,OFF,H,L,0
1880,CL2,OFF,H,R,2
1880,CL2,OFF,H,U,0
1880,CL2,OFF,A,L,0
1880,CL2,OFF,A,R,5
1880,CL2,OFF,A,U,0
1880,CL2,DEF,H,L,0
1880,CL2,DEF,H,R,1
1880,CL2,DEF,H,U,0
1880,CL2,DEF,A,L,2
1880,CL2,DEF,A,R,1
1880,CL2,DEF,A,U,0
1880,CN4,OFF,H,L,1
1880,CN4,OFF,H,R,4
1880,CN4,OFF,H,U,0
1880,CN4,OFF,A,L,1
1880,CN4,OFF,A,R,1
1880,CN4,OFF,A,U,0
1880,CN4,DEF,H,L,1
1880,CN4,DEF,H,R,7
1880,CN4,DEF,H,U,0
1880,CN4,DEF,A,L,1
1880,CN4,DEF,A,R,1
1880,CN4,DEF,A,U,0
1880,PRO,OFF,H,L,0
1880,PRO,OFF,H,R,4
1880,PRO,OFF,H,U,0
1880,PRO,OFF,A,L,0
1880,PRO,OFF,A,R,4
1880,PRO,OFF,A,U,0
1880,PRO,DEF,H,L,0
1880,PRO,DEF,H,R,2
1880,PRO,DEF,H,U,0
1880,PRO,DEF,A,L,1
1880,PRO,DEF,A,R,2
1880,PRO,DEF,A,U,2
1880,TRN,OFF,H,L,6
1880,TRN,OFF,H,R,0
1880,TRN,OFF,H,U,0
1880,TRN,OFF,A,L,1
1880,TRN,OFF,A,R,0
1880,TRN,OFF,A,U,0
1880,TRN,DEF,H,L,2
1880,TRN,DEF,H,R,4
1880,TRN,DEF,H,U,0
1880,TRN,DEF,A,L,0
1880,TRN,DEF,A,R,2
1880,TRN,DEF,A,U,0
1880,WOR,OFF,H,L,1
1880,WOR,OFF,H,R,4
1880,WOR,OFF,H,U,0
1880,WOR,OFF,A,L,0
1880,WOR,OFF,A,R,3
1880,WOR,OFF,A,U,0
1880,WOR,DEF,H,L,1
1880,WOR,DEF,H,R,5
1880,WOR,DEF,H,U,0
1880,WOR,DEF,A,L,1
1880,WOR,DEF,A,R,6
1880,WOR,DEF,A,U,0
1881,BFN,OFF,H,L,2
1881,BFN,OFF,H,R,0
1881,BFN,OFF,H,U,0
1881,BFN,OFF,A,L,7
1881,BFN,OFF,A,R,2
1881,BFN,OFF,A,U,1
1881,BFN,DEF,H,L,0
1881,BFN,DEF,H,R,0
1881,BFN,DEF,H,U,0
1881,BFN,DEF,A,L,3
1881,BFN,DEF,A,R,6
1881,BFN,DEF,A,U,0
1881,BSN,OFF,H,L,0
1881,BSN,OFF,H,R,2
1881,BSN,OFF,H,U,0
1881,BSN,OFF,A,L,0
1881,BSN,OFF,A,R,2
1881,BSN,OFF,A,U,1
1881,BSN,DEF,H,L,1
1881,BSN,DEF,H,R,3
1881,BSN,DEF,H,U,0
1881,BSN,DEF,A,L,1
1881,BSN,DEF,A,R,4
1881,BSN,DEF,A,U,0
1881,CHN,OFF,H,L,2
1881,CHN,OFF,H,R,5
1881,CHN,OFF,H,U,0
1881,CHN,OFF,A,L,0
1881,CHN,OFF,A,R,5
1881,CHN,OFF,A,U,0
1881,CHN,DEF,H,L,2
1881,CHN,DEF,H,R,3
1881,CHN,DEF,H,U,1
1881,CHN,DEF,A,L,2
1881,CHN,DEF,A,R,6
1881,CHN,DEF,A,U,0
1881,CL2,OFF,H,L,1
1881,CL2,OFF,H,R,2
1881,CL2,OFF,H,U,0
1881,CL2,OFF,A,L,0
1881,CL2,OFF,A,R,4
1881,CL2,OFF,A,U,0
1881,CL2,DEF,H,L,1
1881,CL2,DEF,H,R,3
1881,CL2,DEF,H,U,0
1881,CL2,DEF,A,L,2
1881,CL2,DEF,A,R,3
1881,CL2,DEF,A,U,0
1881,DTN,OFF,H,L,4
1881,DTN,OFF,H,R,10
1881,DTN,OFF,H,U,0
1881,DTN,OFF,A,L,1
1881,DTN,OFF,A,R,2
1881,DTN,OFF,A,U,0
1881,DTN,DEF,H,L,3
1881,DTN,DEF,H,R,1
1881,DTN,DEF,H,U,0
1881,DTN,DEF,A,L,3
1881,DTN,DEF,A,R,1
1881,DTN,DEF,A,U,0
1881,PRO,OFF,H,L,0
1881,PRO,OFF,H,R,4
1881,PRO,OFF,H,U,0
1881,PRO,OFF,A,L,2
1881,PRO,OFF,A,R,5
1881,PRO,OFF,A,U,0
1881,PRO,DEF,H,L,0
1881,PRO,DEF,H,R,1
1881,PRO,DEF,H,U,1
1881,PRO,DEF,A,L,0
1881,PRO,DEF,A,R,3
1881,PRO,DEF,A,U,0
1881,TRN,OFF,H,L,2
1881,TRN,OFF,H,R,2
1881,TRN,OFF,H,U,0
1881,TRN,OFF,A,L,1
1881,TRN,OFF,A,R,0
1881,TRN,OFF,A,U,0
1881,TRN,DEF,H,L,4
1881,TRN,DEF,H,R,5
1881,TRN,DEF,H,U,0
1881,TRN,DEF,A,L,1
1881,TRN,DEF,A,R,1
1881,TRN,DEF,A,U,0
1881,WOR,OFF,H,L,2
1881,WOR,OFF,H,R,5
1881,WOR,OFF,H,U,0
1881,WOR,OFF,A,L,0
1881,WOR,OFF,A,R,0
1881,WOR,OFF,A,U,0
1881,WOR,DEF,H,L,0
1881,WOR,DEF,H,R,4
1881,WOR,DEF,H,U,0
1881,WOR,DEF,A,L,1
1881,WOR,DEF,A,R,6
1881,WOR,DEF,A,U,0
1882,BFN,OFF,H,L,2
1882,BFN,OFF,H,R,2
1882,BFN,OFF,H,U,1
1882,BFN,OFF,A,L,6
1882,BFN,OFF,A,R,5
1882,BFN,OFF,A,U,2
1882,BFN,DEF,H,L,5
1882,BFN,DEF,H,R,2
1882,BFN,DEF,H,U,0
1882,BFN,DEF,A,L,4
1882,BFN,DEF,A,R,4
1882,BFN,DEF,A,U,1
1882,BL5,OFF,H,L,1
1882,BL5,OFF,H,R,0
1882,BL5,OFF,H,U,1
1882,BL5,OFF,A,L,1
1882,BL5,OFF,A,R,0
1882,BL5,OFF,A,U,1
1882,BL5,DEF,H,L,2
1882,BL5,DEF,H,R,3
1882,BL5,DEF,H,U,2
1882,BL5,DEF,A,L,4
1882,BL5,DEF,A,R,3
1882,BL5,DEF,A,U,1
1882,BSN,OFF,H,L,7
1882,BSN,OFF,H,R,1
1882,BSN,OFF,H,U,0
1882,BSN,OFF,A,L,2
1882,BSN,OFF,A,R,4
1882,BSN,OFF,A,U,1
1882,BSN,DEF,H,L,2
1882,BSN,DEF,H,R,4
1882,BSN,DEF,H,U,1
1882,BSN,DEF,A,L,1
1882,BSN,DEF,A,R,1
1882,BSN,DEF,A,U,1
1882,CHN,OFF,H,L,4
1882,CHN,OFF,H,R,5
1882,CHN,OFF,H,U,0
1882,CHN,OFF,A,L,1
1882,CHN,OFF,A,R,5
1882,CHN,OFF,A,U,0
1882,CHN,DEF,H,L,0
1882,CHN,DEF,H,R,6
1882,CHN,DEF,H,U,2
1882,CHN,DEF,A,L,3
1882,CHN,DEF,A,R,2
1882,CHN,DEF,A,U,0
1882,CL2,OFF,H,L,0
1882,CL2,OFF,H,R,6
1882,CL2,OFF,H,U,0
1882,CL2,OFF,A,L,3
1882,CL2,OFF,A,R,5
1882,CL2,OFF,A,U,6
1882,CL2,DEF,H,L,0
1882,CL2,DEF,H,R,6
1882,CL2,DEF,H,U,1
1882,CL2,DEF,A,L,7
1882,CL2,DEF,A,R,7
1882,CL2,DEF,A,U,1
1882,CN2,OFF,H,L,1
1882,CN2,OFF,H,R,0
1882,CN2,OFF,H,U,0
1882,CN2,OFF,A,L,1
1882,CN2,OFF,A,R,5
1882,CN2,OFF,A,U,0
1882,CN2,DEF,H,L,1
1882,CN2,DEF,H,R,4
1882,CN2,DEF,H,U,0
1882,CN2,DEF,A,L,0
1882,CN2,DEF,A,R,2
1882,CN2,DEF,A,U,0
1882,DTN,OFF,H,L,10
1882,DTN,OFF,H,R,3
1882,DTN,OFF,H,U,1
1882,DTN,OFF,A,L,2
1882,DTN,OFF,A,R,3
1882,DTN,OFF,A,U,0
1882,DTN,DEF,H,L,5
1882,DTN,DEF,H,R,3
1882,DTN,DEF,H,U,2
1882,DTN,DEF,A,L,2
1882,DTN,DEF,A,R,6
1882,DTN,DEF,A,U,1
1882,LS2,OFF,H,L,0
1882,LS2,OFF,H,R,0
1882,LS2,OFF,H,U,0
1882,LS2,OFF,A,L,0
1882,LS2,OFF,A,R,8
1882,LS2,OFF,A,U,1
1882,LS2,DEF,H,L,0
1882,LS2,DEF,H,R,0
1882,LS2,DEF,H,U,0
1882,LS2,DEF,A,L,4
1882,LS2,DEF,A,R,2
1882,LS2,DEF,A,U,0
1882,PH4,OFF,H,L,0
1882,PH4,OFF,H,R,3
1882,PH4,OFF,H,U,0
1882,PH4,OFF,A,L,0
1882,PH4,OFF,A,R,1
1882,PH4,OFF,A,U,1
1882,PH4,DEF,H,L,3
1882,PH4,DEF,H,R,8
1882,PH4,DEF,H,U,1
1882,PH4,DEF,A,L,0
1882,PH4,DEF,A,R,1
1882,PH4,DEF,A,U,0
1882,PRO,OFF,H,L,0
1882,PRO,OFF,H,R,6
1882,PRO,OFF,H,U,0
1882,PRO,OFF,A,L,2
1882,PRO,OFF,A,R,3
1882,PRO,OFF,A,U,0
1882,PRO,DEF,H,L,0
1882,PRO,DEF,H,R,5
1882,PRO,DEF,H,U,1
1882,PRO,DEF,A,L,4
1882,PRO,DEF,A,R,2
1882,PRO,DEF,A,U,0
1882,PT1,OFF,H,L,4
1882,PT1,OFF,H,R,6
1882,PT1,OFF,H,U,1
1882,PT1,OFF,A,L,3
1882,PT1,OFF,A,R,4
1882,PT1,OFF,A,U,0
1882,PT1,DEF,H,L,0
1882,PT1,DEF,H,R,3
1882,PT1,DEF,H,U,0
1882,PT1,DEF,A,L,1
1882,PT1,DEF,A,R,0
1882,PT1,DEF,A,U,0
1882,SL4,OFF,H,L,5
1882,SL4,OFF,H,R,2
1882,SL4,OFF,H,U,0
1882,SL4,OFF,A,L,2
1882,SL4,OFF,A,R,2
1882,SL4,OFF,A,U,0
1882,SL4,DEF,H,L,0
1882,SL4,DEF,H,R,2
1882,SL4,DEF,H,U,0
1882,SL4,DEF,A,L,1
1882,SL4,DEF,A,R,3
1882,SL4,DEF,A,U,1
1882,TRN,OFF,H,L,3
1882,TRN,OFF,H,R,4
1882,TRN,OFF,H,U,0
1882,TRN,OFF,A,L,3
1882,TRN,OFF,A,R,2
1882,TRN,OFF,A,U,0
1882,TRN,DEF,H,L,1
1882,TRN,DEF,H,R,1
1882,TRN,DEF,H,U,0
1882,TRN,DEF,A,L,3
1882,TRN,DEF,A,R,8
1882,TRN,DEF,A,U,0
1882,WOR,OFF,H,L,0
1882,WOR,OFF,H,R,7
1882,WOR,OFF,H,U,2
1882,WOR,OFF,A,L,0
1882,WOR,OFF,A,R,3
1882,WOR,OFF,A,U,4
1882,WOR,DEF,H,L,6
1882,WOR,DEF,H,R,3
1882,WOR,DEF,H,U,6
1882,WOR,DEF,A,L,2
1882,WOR,DEF,A,R,4
1882,WOR,DEF,A,U,0
1883,BFN,OFF,H,L,0
1883,BFN,OFF,H,R,3
1883,BFN,OFF,H,U,0
1883,BFN,OFF,A,L,4
1883,BFN,OFF,A,R,0
1883,BFN,OFF,A,U,1
1883,BFN,DEF,H,L,1
1883,BFN,DEF,H,R,3
1883,BFN,DEF,H,U,0
1883,BFN,DEF,A,L,3
1883,BFN,DEF,A,R,5
1883,BFN,DEF,A,U,0
1883,BL2,OFF,H,L,2
1883,BL2,OFF,H,R,1
1883,BL2,OFF,H,U,1
1883,BL2,OFF,A,L,0
1883,BL2,OFF,A,R,1
1883,BL2,OFF,A,U,0
1883,BL2,DEF,H,L,3
1883,BL2,DEF,H,R,3
1883,BL2,DEF,H,U,0
1883,BL2,DEF,A,L,0
1883,BL2,DEF,A,R,5
1883,BL2,DEF,A,U,1
1883,BSN,OFF,H,L,7
1883,BSN,OFF,H,R,14
1883,BSN,OFF,H,U,0
1883,BSN,OFF,A,L,2
1883,BSN,OFF,A,R,11
1883,BSN,OFF,A,U,0
1883,BSN,DEF,H,L,2
1883,BSN,DEF,H,R,1
1883,BSN,DEF,H,U,0
1883,BSN,DEF,A,L,5
1883,BSN,DEF,A,R,3
1883,BSN,DEF,A,U,0
1883,CHN,OFF,H,L,3
1883,CHN,OFF,H,R,8
1883,CHN,OFF,H,U,0
1883,CHN,OFF,A,L,1
1883,CHN,OFF,A,R,1
1883,CHN,OFF,A,U,0
1883,CHN,DEF,H,L,2
1883,CHN,DEF,H,R,4
1883,CHN,DEF,H,U,0
1883,CHN,DEF,A,L,1
1883,CHN,DEF,A,R,14
1883,CHN,DEF,A,U,0
1883,CL2,OFF,H,L,0
1883,CL2,OFF,H,R,0
1883,CL2,OFF,H,U,0
1883,CL2,OFF,A,L,2
1883,CL2,OFF,A,R,6
1883,CL2,OFF,A,U,0
1883,CL2,DEF,H,L,1
1883,CL2,DEF,H,R,3
1883,CL2,DEF,H,U,0
1883,CL2,DEF,A,L,1
1883,CL2,DEF,A,R,2
1883,CL2,DEF,A,U,0
1883,CL5,OFF,H,L,1
1883,CL5,OFF,H,R,3
1883,CL5,OFF,H,U,1
1883,CL5,OFF,A,L,5
1883,CL5,OFF,A,R,5
1883,CL5,OFF,A,U,0
1883,CL5,DEF,H,L,0
1883,CL5,DEF,H,R,5
1883,CL5,DEF,H,U,3
1883,CL5,DEF,A,L,1
1883,CL5,DEF,A,R,6
1883,CL5,DEF,A,U,1
1883,CN2,OFF,H,L,1
1883,CN2,OFF,H,R,28
1883,CN2,OFF,H,U,0
1883,CN2,OFF,A,L,1
1883,CN2,OFF,A,R,4
1883,CN2,OFF,A,U,0
1883,CN2,DEF,H,L,2
1883,CN2,DEF,H,R,12
1883,CN2,DEF,H,U,0
1883,CN2,DEF,A,L,0
1883,CN2,DEF,A,R,1
1883,CN2,DEF,A,U,2
1883,DTN,OFF,H,L,7
1883,DTN,OFF,H,R,5
1883,DTN,OFF,H,U,0
1883,DTN,OFF,A,L,0
1883,DTN,OFF,A,R,1
1883,DTN,OFF,A,U,0
1883,DTN,DEF,H,L,2
1883,DTN,DEF,H,R,6
1883,DTN,DEF,H,U,1
1883,DTN,DEF,A,L,2
1883,DTN,DEF,A,R,11
1883,DTN,DEF,A,U,0
1883,LS2,OFF,H,L,2
1883,LS2,OFF,H,R,1
1883,LS2,OFF,H,U,1
1883,LS2,OFF,A,L,0
1883,LS2,OFF,A,R,8
1883,LS2,OFF,A,U,2
1883,LS2,DEF,H,L,0
1883,LS2,DEF,H,R,0
1883,LS2,DEF,H,U,0
1883,LS2,DEF,A,L,1
1883,LS2,DEF,A,R,6
1883,LS2,DEF,A,U,0
1883,NY1,OFF,H,L,8
1883,NY1,OFF,H,R,12
1883,NY1,OFF,H,U,0
1883,NY1,OFF,A,L,1
1883,NY1,OFF,A,R,3
1883,NY1,OFF,A,U,0
1883,NY1,DEF,H,L,3
1883,NY1,DEF,H,R,11
1883,NY1,DEF,H,U,1
1883,NY1,DEF,A,L,2
1883,NY1,DEF,A,R,2
1883,NY1,DEF,A,U,0
