PlayerName,PlayerId,G,AB,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS
Bill Moore,1009092,49,87,101,16,2,0,0,9,4,13,,10,0,,1,,0,0
Bill Moore,1009093,6,12,12,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Bobby Moore,1009094,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Moore,1009097,4,4,4,0,0,0,0,0,0,0,,0,0,,0,,0,0
Donnie Moore,1009102,258,57,64,12,2,2,0,3,11,3,0,23,0,0,4,1,0,0
Gary Moore,1009107,7,16,16,1,0,2,0,2,0,0,0,1,0,0,0,2,1,0
Jackie Moore,1009112,21,53,61,5,0,0,0,2,2,6,2,12,0,1,1,3,0,0
Jim Moore,1009114,46,35,38,2,2,0,0,1,2,1,,8,0,,2,,0,0
Kerwin Moore,1009120,22,16,18,0,1,0,0,4,0,2,0,6,0,0,0,0,1,0
Marcus Moore,1009121,79,5,5,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
Mike Moore,1009122,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Moore,1009125,365,299,326,42,8,0,6,19,18,7,0,99,2,1,17,5,0,0
Tommy Moore,1009129,31,5,5,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0
Trey Moore,1009130,24,26,31,4,2,0,0,1,0,2,0,5,0,0,3,0,0,0
Wilcy Moore,1009132,261,205,225,19,1,0,1,9,4,6,,97,0,,14,,0,0
Bob Moorhead,1009133,38,22,28,1,0,0,0,2,0,5,0,11,0,0,1,0,0,0
Jake Mooty,1009135,114,132,143,26,1,0,0,11,5,3,,14,0,,8,6,0,0
Willie Morales,1009141,3,11,11,2,1,0,0,1,0,0,0,3,0,0,0,0,0,0
Dave Morehead,1009156,177,244,278,28,3,0,0,12,11,15,0,90,2,1,16,3,0,0
Seth Morehead,1009158,120,62,69,7,2,0,0,3,3,3,0,26,0,0,4,0,0,0
Danny Morejon,1009159,12,26,37,5,0,0,0,4,1,9,1,2,0,0,2,1,1,0
Ramon Morel,1009162,29,4,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
Julio Moreno,1009165,73,106,114,11,3,0,0,5,2,3,,17,0,,5,6,0,0
Roger Moret,1009168,46,50,55,5,0,0,0,3,3,2,0,17,0,1,2,0,0,0
Cy Morgan,1009175,17,5,5,0,0,0,0,0,0,0,,3,0,,0,,0,0
Joe Morgan,1009178,88,187,207,26,5,3,2,15,10,18,1,31,0,0,2,6,0,0
Kevin Morgan,1009180,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Morgan,1009184,443,247,266,36,4,1,5,21,12,5,0,73,0,0,14,9,0,0
Vern Morgan,1009185,31,71,77,14,2,0,0,4,3,4,0,14,0,1,1,2,0,0
Moe Morhardt,1009186,25,34,39,7,0,0,0,4,3,5,0,13,0,0,0,0,0,0
John Morlan,1009191,49,18,20,1,1,0,0,2,1,2,0,8,0,0,0,1,0,0
Alvin Morman,1009193,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russ Morman,1009194,207,470,518,86,17,4,10,51,43,35,2,102,4,4,5,17,3,0
Jeff Moronko,1009196,14,30,35,3,1,0,0,1,3,3,0,7,1,0,1,0,0,0
Bill Morrell,1009198,48,37,44,6,0,0,0,6,1,5,,4,0,,2,,0,0
Bill Morrisette,1009199,13,16,17,2,0,0,0,3,1,1,,5,0,,0,,0,0
Bugs Morris,1009200,10,11,11,4,0,0,0,0,0,0,,2,0,,0,,0,0
Danny Morris,1009201,3,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Doyt Morris,1009202,6,13,13,2,0,0,0,0,0,0,,3,0,,0,,0,0
Ed Morris,1009205,140,221,240,30,9,3,1,21,18,7,,67,0,,12,,0,0
Jack Morris,1009211,152,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Joseph Morrissey,1009218,254,841,897,163,31,1,0,61,45,36,,40,3,,17,21,7,0
John Morris,1009219,112,31,35,5,1,0,0,2,1,0,0,14,1,1,2,1,0,0
Bud Morse,1009227,8,27,27,2,0,0,0,1,0,0,,2,0,,0,,0,0
Carl Morton,1009230,266,551,629,67,11,1,7,44,42,30,0,178,2,5,41,4,2,0
Guy Morton Jr.,1009233,1,1,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Ross Moschitto,1009237,110,36,39,5,0,0,1,13,3,1,0,14,0,1,1,0,0,0
Paul Moskau,1009245,153,196,229,21,7,0,2,19,17,10,0,48,0,1,22,3,0,0
Charlie Moss,1009248,47,57,65,12,1,1,0,6,12,7,,5,0,,1,,1,0
Don Mossi,1009250,463,436,501,58,10,1,2,30,29,43,0,152,1,3,18,2,0,0
Earl Mossor,1009253,3,1,1,1,0,0,0,0,0,0,,0,0,,0,0,0,0
Andy Mota,1009256,27,90,91,14,2,0,1,4,6,1,0,17,0,0,0,0,2,0
Jose Mota,1009258,19,38,43,8,0,0,0,4,2,2,0,7,1,0,2,0,0,0
Glen Moulder,1009264,65,37,43,9,0,1,0,4,1,1,,5,0,,5,0,0,0
Ron Mrozinski,1009275,37,16,18,1,0,0,0,0,0,0,0,10,0,0,2,1,0,0
Gordie Mueller,1009279,8,1,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0
Les Mueller,1009282,30,47,50,4,3,0,1,5,4,2,,13,0,,1,1,0,0
Ray Mueller,1009283,985,2911,3238,531,123,23,56,281,373,250,,322,13,,64,77,14,0
Billy Muffett,1009286,120,92,103,17,2,0,1,11,7,7,0,32,0,0,4,3,0,0
Joe Muich,1009287,3,3,3,0,0,0,0,0,0,0,,3,0,,0,,0,0
Joe Muir,1009288,21,10,11,1,0,0,0,1,0,1,,2,0,,0,0,0,0
Martin Mullen,1009292,1,4,4,0,0,0,0,1,0,0,,0,,,,,0,0
Billy Mullen,1009293,36,50,63,10,1,0,0,5,2,10,,6,0,,3,,1,0
Freddie Muller,1009295,17,49,55,7,1,1,0,7,3,6,,5,0,,0,,1,0
Dick Mulligan,1009299,24,18,23,0,0,0,0,0,1,4,,9,0,,1,1,1,0
Joe Mulligan,1009307,14,12,14,0,0,0,0,0,0,1,,10,0,,1,,0,0
Sean Mulligan,1009310,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Mulrenan,1009311,12,20,22,3,0,0,0,1,1,0,,2,1,,1,,0,0
Red Munger,1009320,273,402,441,56,12,1,1,25,30,20,0,100,2,0,17,9,0,0
Manny Muniz,1009322,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Horatio Munn,1009323,1,4,4,0,0,0,0,0,0,0,,0,,,,,0,0
Scott Munninghoff,1009324,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Bobby Munoz,1009326,53,67,72,8,2,0,1,6,7,1,0,23,0,0,4,0,0,0
Jose Munoz,1009327,17,27,31,7,0,0,0,7,1,4,0,1,0,0,0,2,0,0
Mike Munoz,1009328,230,7,11,0,1,0,0,2,1,3,0,6,0,0,1,0,0,0
Noe Munoz,1009329,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masanori Murakami,1009336,54,16,16,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Steve Mura,1009337,141,159,181,13,3,0,0,9,15,6,0,43,1,0,15,2,0,0
Tim Murchison,1009340,2,1,1,0,0,0,0,0,0,0,,1,0,,0,,0,0
Red Murff,1009342,26,11,12,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Danny Murphy,1009354,117,130,143,13,5,1,4,18,13,11,0,29,1,0,1,3,0,0
Dick Murphy,1009357,6,1,1,0,0,0,0,1,0,0,,1,0,0,0,0,0,0
Johnny Murphy,1009368,415,298,350,33,13,0,0,30,20,29,,103,1,,22,2,1,0
Rob Murphy,1009374,259,12,15,3,0,0,0,1,0,0,0,4,0,0,3,0,0,0
Tom Murphy,1009376,296,289,336,34,7,0,1,21,18,13,0,96,0,2,32,7,0,0
Bobby Murray,1009382,10,37,41,6,1,0,0,2,2,1,,4,0,,3,,1,0
Dale Murray,1009383,388,65,79,5,0,0,0,3,1,5,0,28,0,0,9,2,0,0
George Murray,1009387,108,137,152,21,1,1,1,9,8,3,,39,1,,11,,0,0
Jim Murray,1009390,4,2,2,1,0,0,0,0,0,0,,0,0,,0,,0,0
Joe Murray,1009391,8,11,11,0,0,0,0,0,0,0,,3,0,,0,1,0,0
Matt Murray,1009393,4,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ray Murray,1009396,250,731,795,133,37,6,8,69,80,55,,67,1,0,8,24,1,0
Tony Murray,1009400,2,4,5,1,0,0,0,0,0,0,,0,1,,0,,0,0
Danny Murtaugh,1009402,767,2599,2937,535,97,21,8,263,219,287,,215,9,,42,49,49,0
Dennis Musgraves,1009404,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
