Name,Team,G,GS,IP,TBF,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Adam Wainwright","STL",32,32,191.2,803,0.2904,0.91,0.8449,0.4207,0.0673,0.2786,0.1781,78.73681034109941,0.0672,81.10795358557279,0.1108,0.3018867924528302,103.42768099907344,0.7502,103.82359272721513,0.081218274,10.97070230847617,0.0651,0.3639,3.709558621867897,93.95010362415576,4.53,3.6602549225043903,93.34412243765618,4.09660482115644,102.57415739402977,4.344889306214461,1.2834759788741248,100.3381909618019,106.2158371040724,103.73225597931477,100.82698771816418,2.8985800743103027,3.615959882736206,"Adam Wainwright",2233,425794
"Keegan Akin","BAL",1,1,2.1,10,0.3704,0.6,0.55,0.3571,0.2143,0.3571,0.4,180.0415046825736,0.1,124.60329999165398,0.3,0.4,139.52644409767268,0.3333,45.733144589355845,0,19.045799255371094,0,0.4,7.7142970124235,203.3147404007462,,0.9695695283415628,23.78783047809632,2.872911629530984,72.40650396095431,2.6125974775682237,1.2857161687372498,102.64133650911333,103.15,97.3547619047619,100.82619047619048,0.11150100082159042,-0.062404099851846695,"Keegan Akin",19362,669211
"Davis Martin","CHW",9,9,44.1,193,0.3543,0.8889,0.7823,0.437,0.1129,0.2598,0.1762,79.29289061433458,0.0777,96.84194268234447,0.0984,0.31386861313868614,109.48242876277234,0.6207,85.15826929685545,0.094339622,16.998581906582448,0.0775,0.3803,5.481206937809232,139.81578755966854,,4.1951373528412725,102.10713287888066,4.498743799486727,114.27421730151185,4.618964842477783,1.4210536505431344,113.44560291728716,94.46154855643044,100.28858267716535,100.80839895013123,0.5944390296936035,-0.23215800523757935,"Davis Martin",21448,663436
"Andrew Heaney","LAD",14,14,64.2,277,0.4003,0.7925,0.6655,0.3976,0.1702,0.3248,0.3502,154.82792441235975,0.065,78.37507451382153,0.2852,0.2785714285714286,95.43973956477002,0.7895,109.25640628823558,0.19117647,17.049864477040817,0.1176,0.4641,3.0618539843232546,77.57994637470857,,3.978408714227395,98.44836739349336,2.9216902466795176,73.58939737546915,2.5734241536980926,1.0824736308213527,84.62444772495432,96.44508196721308,101.83925318761385,100.7914389799636,0.8558580279350281,0.7853739857673645,"Andrew Heaney",15423,571760
"Tyler Anderson","LAD",28,28,170.2,677,0.3905,0.8641,0.7751,0.436,0.1174,0.2815,0.192,84.90084431030994,0.0502,60.572496818704714,0.1418,0.258130081300813,88.43644827296282,0.782,108.22483920265762,0.06542056,17.02272294207317,0.0514,0.2885,2.5839792154250314,65.4717599181475,,3.376101158083071,83.77003283053756,4.165944823006924,104.28475266366256,4.129743568621191,1.0253885775496157,80.16171443619527,92.47183441558442,104.6654626623376,100.758887987013,3.7548201084136963,5.207280158996582,"Tyler Anderson",12880,542881
"Nick Martinez","SDP",10,10,52.1,230,0.358,0.8326,0.7581,0.3749,0.1147,0.2822,0.2043,90.34983188957948,0.1174,141.58627649464123,0.087,0.3082191780821918,105.59718286934512,0.8213,113.66444570790325,0.176470588,10.595741714969758,0.1097,0.4452,4.299365668913768,112.26431158593681,,5.157017038787082,130.5125427716855,4.364006227908723,109.17086303689835,4.660816488143245,1.5477716408089564,121.0000101419751,93.55755939524839,102.2572354211663,100.7523758099352,-0.03284990042448044,0.6349610090255737,"Nick Martinez",12730,607259
"Charlie Morton","ATL",31,31,172,728,0.3199,0.8577,0.7311,0.4034,0.1223,0.3055,0.2816,124.50299761600645,0.0865,104.37449835778916,0.1951,0.2922705314009662,100.13310963874669,0.76,105.17169786649885,0.164705882,13.597260496932078,0.095,0.4208,4.343023255813954,105.85169910259101,4.11,4.257778646779615,108.16319374088515,3.6046609356652857,90.43806190818778,3.475390287707027,1.2325581395348837,96.35759142501527,101.86909530386737,98.90331491712702,100.73339088397786,1.4703400135040283,2.1685099601745605,"Charlie Morton",4676,450203
"Chris Sale","BOS",2,2,5.2,25,0.3103,0.9545,0.875,0.4314,0.049,0.3235,0.2,90.02075234128678,0.04,49.841319996661596,0.16,0.2777777777777778,96.89336395671711,0.5714,78.39967645849565,0,4.107183244493273,0.0556,0.3889,3.176468806284284,77.13177755355758,4.08,2.4065478526182496,60.001499157011565,3.1902753656215914,80.57911499232023,3.326230078128529,1.0588229354280947,84.52798826165497,106.02156862745099,103.29313725490196,100.71862745098038,0.16140200197696686,0.05160269886255264,"Chris Sale",10603,519242
"Miles Mikolas","STL",32,32,199.1,793,0.3152,0.888,0.8294,0.4509,0.0829,0.2595,0.1929,85.30521263400448,0.0492,59.316654125580456,0.1438,0.24912280701754386,85.35051833322662,0.7458,103.20718144118915,0.121951219,10.9635654313455,0.0689,0.363,3.295992256891288,83.47591873974136,,3.885006381200843,98.98134351786987,3.777030675440534,94.69036726755536,3.9636341987091988,1.0334465828304495,80.79166442041603,89.78872010342596,106.06651583710416,100.69605688429213,2.799190044403076,4.379340171813965,"Miles Mikolas",9803,571945
"Kyle Bradish","BAL",23,23,117.2,509,0.2882,0.8825,0.7799,0.4185,0.0998,0.2589,0.2181,98.15622299843655,0.0904,112.60808919069743,0.1277,0.31097560975609756,108.47330257593453,0.7018,96.28030436253874,0.149122807,8.684340490973241,0.0783,0.4058,4.895170276257001,129.0150317432454,4.49,4.455202211738031,115.0653371688452,4.01126085513054,101.72077141092441,4.1453446063313795,1.4022623187194532,111.94545268190264,108.37806224899596,98.23463855421682,100.67454819277111,0.7007889747619629,0.09540189802646637,"Kyle Bradish",24586,680694
"Chase Silseth","LAA",7,7,28.2,129,0.3277,0.888,0.7568,0.4092,0.1078,0.2834,0.186,83.74023445345743,0.093,115.91004548965127,0.093,0.3058823529411765,106.69669254527909,0.6906,94.7509901553992,0.25,7.534956376631182,0.1087,0.5109,6.593015505994268,166.6850956996722,6.61,5.972891563493752,148.55318013066181,4.244422686197094,107.7250521020364,4.503443673910186,1.5697655966653021,125.31758001145552,95.69560878243514,99.28423153692617,100.62554890219563,-0.244268000125885,-0.3190949857234955,"Chase Silseth",30074,681217
"Denyi Reyes","BAL",1,1,3.2,16,0.2813,0.9565,0.8438,0.4754,0.082,0.1967,0.0625,28.131485106652114,0.0625,77.87706249478373,0,0.2857142857142857,99.66174578405189,0.8,109.75954712421358,0,20.049285888671875,0,0.5,2.4545431669114683,64.69089872730376,,3.385156828116031,87.04429090995211,5.807586424096401,147.97895560580594,6.051521530422374,1.3636350927285934,108.8617626749275,92.16721311475409,110.84426229508196,100.58852459016393,0.10725700110197067,0.1236639991402626,"Denyi Reyes",20526,660593
"José Butto","NYM",1,1,4,23,0.3333,0.8889,0.8113,0.4796,0.102,0.2449,0.2174,96.11684232283669,0.087,104.8787227486465,0.1304,0.5,171.3020966547154,0.4878,67.50802340886032,0.25,24.78962516784668,0.1875,0.4375,15.75,408.35932294371366,6.33,8.612429809570312,216.95625003748683,5.073179852962494,126.66594547114897,4.612050728075758,2.75,214.9865129435482,95.45510204081633,101.08775510204082,100.54183673469389,-0.06732729822397232,-0.3411870002746582,"Jose Butto",23313,676130
"Aaron Civale","CLE",20,20,97,407,0.3368,0.8801,0.7773,0.3942,0.1039,0.2764,0.2408,108.37879239114821,0.0541,67.35313506327063,0.1867,0.29699248120300753,103.59576206500132,0.625,85.74964619079185,0.130841121,13.466690612353867,0.075,0.4,4.917525773195877,129.3541436721811,3.8,3.8650071291579415,99.46124811108618,3.6217094726783716,91.6892159322496,3.548650562404561,1.1855670103092784,94.64622551863265,100.73211772232888,100.68784388995523,100.51394753678818,1.2449899911880493,-0.16809000074863434,"Aaron Civale",19479,650644
"Wade Miley","CHC",8,8,35,152,0.339,0.872,0.7541,0.3664,0.1083,0.2942,0.1842,81.44637690635872,0.0921,111.08864787573746,0.0921,0.26666666666666666,91.36111821584821,0.6308,87.30301619439666,0.09090909,9.68504718530958,0.0463,0.3519,3.342857142857143,83.46704775180676,,3.9981440952845984,101.16613399516324,4.2796405443123415,107.08958909072092,4.392192038641644,1.2857142857142858,100.51317488269787,95.38829981718463,105.62303473491771,100.39159049360146,0.5049870014190674,0.14622700214385986,"Wade Miley",8779,489119
"Chris Paddack","MIN",5,5,22.1,93,0.369,0.8293,0.8021,0.4905,0.1035,0.2725,0.2151,96.79650769542391,0.0215,26.796408171613155,0.1935,0.35714285714285715,124.57718223006489,0.6429,88.19963596435781,0,10.075338027056526,0.0571,0.4143,4.0298568265092705,105.14386059667987,3.1,1.724368013772675,43.416357558973644,3.1826500861445375,80.38275215660661,3.414614274282271,1.2089570479527814,96.51349979199387,87.774931880109,106.52861035422343,100.38610354223434,0.9233660101890564,0.318462997674942,"Chris Paddack",20099,663978
"Trevor Rogers","MIA",23,23,107,477,0.3209,0.8282,0.7773,0.4198,0.1082,0.2603,0.2222,98.25277221118472,0.0943,113.78352015658622,0.1279,0.3300653594771242,113.0817762230474,0.669,92.57910656103842,0.131578947,12.081072401173108,0.0748,0.3738,5.4672897196261685,134.55332387553304,4.84,4.35542046377592,110.75573457086094,4.110212542966147,102.90985546061415,4.204355592548321,1.5046728971962617,117.63068337777828,100.77789256198349,100.50098140495865,100.33698347107438,0.7989969849586487,-0.1982160061597824,"Trevor Rogers",22286,669432
