Rk,Player,WAR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos
93,Ty Cobb,9.5,1915,28,DET,AL,156,701,563,144,208,161,31,13,3,99,96,38,118,43,0.369,0.486,0.487,0.973,185,274,,10,9,,,9.5,6.9,9.9,-0.8,64,0,8,8,-3,*8
94,Lou Gehrig,9.5,1928,25,NYY,AL,154,678,562,139,210,123,47,13,27,147,4,11,95,69,0.374,0.467,0.648,1.115,193,364,,4,17,,3,9.5,6.9,9,-0.3,77,0,-3,-3,4,*3
95,Willie Mays,9.5,1960,29,SFG,NL,153,669,595,107,190,120,29,12,29,103,25,10,61,70,0.319,0.381,0.555,0.936,160,330,15,4,0,9,11,9.5,7,8,1.4,48,0,5,5,14,*8/H
96,Henry Aaron,9.4,1961,27,MLN,NL,155,671,603,115,197,114,39,10,34,120,21,9,56,64,0.327,0.381,0.594,0.974,163,358,16,2,1,9,20,9.4,6.9,7.1,2,44,1,4,5,23,*89/5H
97,Álex Rodríguez,9.4,2007,31,NYY,AL,158,708,583,143,183,98,31,0,54,156,24,4,95,120,0.314,0.422,0.645,1.067,176,376,15,21,0,9,11,9.4,7,9.5,0.2,65,0,7,7,-1,*5/D
98,Álex Rodríguez,9.4,1996,20,SEA,AL,146,677,601,141,215,124,54,1,36,123,15,4,59,104,0.358,0.414,0.631,1.045,161,379,15,4,6,7,1,9.4,7.2,8.5,1.8,58,-1,3,3,8,*6/H
99,George Brett,9.4,1980,27,KCR,AL,117,515,449,87,175,109,33,9,24,118,15,6,58,22,0.39,0.454,0.664,1.118,203,298,11,1,0,7,16,9.4,7.8,8.5,1.3,61,1,5,6,9,*5/H3
100,Frankie Frisch,9.4,1927,29,STL,NL,153,693,617,112,208,156,31,11,10,78,48,14,43,10,0.337,0.387,0.472,0.858,124,291,,7,26,,2,9.4,7.2,5.6,4.4,23,0,5,5,37,*4/6
101,Craig Biggio,9.4,1997,31,HOU,NL,162,744,619,146,191,124,37,8,22,81,47,10,84,107,0.309,0.415,0.501,0.916,143,310,0,34,0,7,6,9.4,7.3,7.5,2.3,43,2,7,9,19,*4/HD
102,Álex Rodríguez,9.4,2005,29,NYY,AL,162,715,605,124,194,116,29,1,48,130,21,6,91,139,0.321,0.421,0.61,1.031,173,369,8,16,0,3,8,9.4,6.9,9.4,0.4,66,2,0,2,0,*5/6D
103,Eddie Collins,9.4,1915,28,CHW,AL,155,681,521,118,173,137,22,10,4,77,46,30,119,27,0.332,0.46,0.436,0.896,165,227,,5,35,,,9.4,6.8,8,1.4,49,0,0,0,12,*4
104,Harry Heilmann,9.4,1923,28,DET,AL,144,627,524,121,211,138,44,11,18,115,9,7,74,40,0.403,0.481,0.632,1.113,194,331,,5,23,,,9.4,6.9,8.9,-0.2,74,0,0,0,5,*93/H
105,Terry Turner,9.3,1906,25,CLE,AL,147,643,584,85,170,134,27,7,2,62,27,,35,43,0.291,0.338,0.372,0.709,123,217,,6,18,,,9.3,7,5.2,5.4,15,0,-1,-1,34,*6
106,Joe DiMaggio,9.3,1941,26,NYY,AL,139,622,541,122,193,109,43,11,30,125,4,2,76,13,0.357,0.44,0.643,1.083,185,348,6,4,0,,21,9.3,7.4,8.5,0.7,63,3,4,7,8,*8
107,Home Run Baker,9.3,1912,26,PHA,AL,149,648,577,116,200,129,40,21,10,130,40,26,50,38,0.347,0.404,0.541,0.945,174,312,,6,11,,,9.3,6.8,8.3,1.5,53,0,0,0,9,*5
108,Ernie Banks,9.3,1958,27,CHC,NL,154,682,617,119,193,112,23,11,47,129,4,4,52,87,0.313,0.366,0.614,0.98,155,379,14,4,1,8,12,9.3,6.8,8.5,1.9,48,0,2,1,10,*6
109,Jackie Robinson,9.3,1949,30,BRO,NL,156,704,593,122,203,137,38,12,16,124,37,16,86,27,0.342,0.432,0.528,0.96,152,313,22,8,17,,12,9.3,6.6,8.3,1.8,46,-1,5,3,10,*4
110,Honus Wagner,9.3,1906,32,PIT,NL,142,590,516,103,175,126,38,9,2,71,53,,58,31,0.339,0.416,0.459,0.875,168,237,,10,6,,,9.3,7.3,8.3,2.3,39,0,4,4,10,*6/H95
111,Stan Musial,9.3,1946,25,STL,NL,156,702,624,124,228,142,50,20,16,103,7,9,73,31,0.365,0.434,0.587,1.021,183,366,7,3,2,,9,9.3,6.7,9.5,-1.1,65,2,4,6,-2,*37
112,Joe Morgan,9.3,1972,28,CIN,NL,149,680,552,122,161,118,23,4,16,73,58,17,115,44,0.292,0.417,0.435,0.851,149,240,5,6,3,4,1,9.3,7.3,8.4,1.4,42,3,8,11,7,*4/H
113,Joe Morgan,9.3,1973,29,CIN,NL,157,698,576,116,167,104,35,2,26,82,67,15,111,61,0.29,0.406,0.493,0.899,154,284,12,4,3,4,3,9.3,7.1,8,1.7,43,1,7,8,11,*4/H
114,Albert Pujols,9.2,2008,28,STL,NL,148,641,524,100,187,106,44,0,37,116,7,3,104,54,0.357,0.462,0.653,1.114,192,342,16,5,0,8,34,9.2,7.3,7.5,1,65,0,0,0,18,*3/HD4
115,Reggie Jackson,9.2,1969,23,OAK,AL,152,678,549,123,151,65,36,3,47,118,13,5,114,142,0.275,0.41,0.608,1.018,189,334,8,12,1,1,20,9.2,7,8.5,0.1,64,1,-1,1,8,*98/H
116,Honus Wagner,9.2,1909,35,PIT,NL,137,591,495,92,168,114,39,10,5,100,35,,66,24,0.339,0.42,0.489,0.909,177,242,,3,27,,,9.2,7.3,8.3,2,45,0,1,1,7,*6/7
117,Ty Cobb,9.2,1912,25,DET,AL,140,610,553,119,226,166,30,23,7,83,61,34,43,30,0.409,0.456,0.584,1.04,200,323,,5,8,,,9.2,6.9,8.9,-0.2,68,0,2,2,2,*8/7
