Name,Team,G,GS,IP,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Jason Alexander","MIL",11,11,56,0.3146,0.9005,0.8416,0.389,0.0674,0.2608,0.1355,59.89113197867141,0.0876,105.7144102101631,0.0478,0.3333333333333333,114.20139776981027,0.7399,102.38985400451963,0.166666666,3.840784872731855,0.0681,0.4241,4.821428571428571,118.92642911887303,,5.148144095284598,127.76149287308091,4.559894113881247,114.00335340581266,4.856533125909709,1.625,127.03748492118758,86.67101769911505,101.05774336283187,94.49546460176991,-0.06203769892454147,0.11779599636793137,"Jason Alexander",19666,669920
"Dinelson Lamet","COL",4,4,15,0.2402,0.9082,0.8163,0.3892,0.0806,0.2269,0.2338,105.00495405628867,0.1299,150.06479365787985,0.1039,0.45454545454545453,152.97349771236583,0.5442,75.80119369537859,0.2,14.478374481201172,0.125,0.5833,10.8,214.28213819371362,,6.521706549326579,141.154472520896,5.259510437647502,120.092957573752,4.925849676733711,2.2666666666666666,170.2289594163722,85.67095808383232,91.17724550898203,88.59341317365269,-0.06398849934339523,-0.5387240052223206,"Dinelson Lamet",17186,659275
"Josh Rogers","WSN",3,3,14,0.2891,0.9265,0.8667,0.4208,0.0633,0.2262,0.1167,51.58270516769636,0.0833,100.50877641974239,0.0333,0.24444444444444444,83.74769169786084,0.7432,102.85850861647444,0.136363636,18.572832743326824,0.1042,0.4375,5.142857142857143,126.65097304398587,,5.969572666713169,147.01402903721132,5.510161986521313,137.44615243150594,5.533146180750981,1.3571428571428572,106.09724015395885,83.41764705882352,100.06877828054297,94.54615384615384,-0.06519220024347305,0.0731654018163681,"Josh Rogers",18510,642028
"Bryan Garcia","DET",4,4,20.1,0.2291,0.83,0.7518,0.4353,0.1104,0.2776,0.2024,91.09242779292921,0.119,148.33726183549126,0.0833,0.21568627450980393,75.2348473075686,0.8333,114.33286154198932,0.136363636,15.23368552879051,0.1296,0.3704,3.5409894747012456,90.95315815393839,,5.276367821887741,135.46929815907117,4.96005174739127,126.15361622195151,4.804268696556114,1.180329824900415,94.2281303565879,91.96529968454259,92.30094637223975,87.7328075709779,-0.06575530022382736,0.44266200065612793,"Bryan Garcia",19457,650530
"Kyle Nelson","ARI",3,3,2.2,0.2222,0.9167,0.7222,0.4,0.1111,0.2889,0.3333,149.72928668057278,0.1667,196.80035320060364,0.1667,0.2,67.30833899344096,0.3846,53.22748000077031,0.333333333,14.012100219726562,0.1667,0.6667,6.749991651634766,153.97230148372353,,7.326556069614835,177.88753140152622,4.246715199067426,102.79992090245022,4.239539282270627,1.4999981448077258,113.80483986633223,86.61999999999999,99.23555555555556,102.14666666666668,-0.0672254990786314,-0.10691790282726288,"Kyle Nelson",20515,669459
"Wil Crowe","PIT",1,1,2,0.1053,0.875,0.8,0.4242,0.0606,0.303,0.375,165.80155327217577,0.125,150.76316523266627,0.25,0,0,1,138.3914480020028,0.5,10.798250198364258,0.25,0.5,4.5,109.69717266921315,,8.112429809570312,201.8089363704919,3.0928048312664034,77.81073846499872,3.03757075881958,1,78.1769137976539,87.21515151515152,95.41818181818182,96.11515151515152,-0.06800249963998795,0.023945799097418785,"Wil Crowe",19800,640444
"Drew Rom","STL",8,8,33.2,0.2591,0.9242,0.8625,0.4642,0.0595,0.2455,0.1882,84.5530089807367,0.1118,129.14399579951763,0.0765,0.39285714285714285,132.21280873711615,0.598,83.29317208128025,0.134615384,13.713025004923844,0.1261,0.4538,8.019794407651535,187.83247767471386,,5.750087031707057,133.47922287709198,5.6008104888324866,127.87927668361301,5.250421940391766,2.079205957539287,156.15047054304466,80.6134328358209,97.66910447761194,91.25194029850746,-0.06817310303449631,-1.0099799633026123,"Drew Rom",24602,680723
"Bryce Jarvis","ARI",1,1,2.2,0.24,1,0.8667,0.3421,0.0526,0.1842,0.1,44.91878604909062,0.1,115.54989189075178,0,0,0,0,0,0.2,20.793500900268555,0.125,0.5,6.749991349887012,153.97229460063411,,8.505033154794255,200.7430185519743,6.7300721473578395,153.64192043734514,6.6417796031263885,0.7499990388763347,56.32568644905782,86.44210526315788,86.82105263157894,86.42368421052633,-0.06837110221385956,-0.021692700684070587,"Bryce Jarvis",27477,686826
"Daniel Mengden","KCR",1,1,2.2,0.4231,1,0.9286,0.5185,0.037,0.2222,0.1429,64.30053700083019,0.0714,89.00235660288155,0.0714,0.4,139.52644409767268,0.6522,89.47789167138284,0.333333333,6.051754344593395,0.1818,0.4545,10.124987024830519,250.50603702759398,,7.61242404282832,195.50719493380166,4.402850055305047,111.80480387327309,4.895016939800827,2.249997116629004,179.62184563586055,95.39444444444443,99.57777777777777,97.0925925925926,-0.07640469819307327,-0.11786600202322006,"Daniel Mengden",16980,596043
"Michael Fulmer","CHC",1,1,2,0.3889,0.875,0.7333,0.3793,0.1379,0.2414,0.2222,99.81952445371518,0.1111,128.38876863911318,0.1111,0.4,134.61667798688194,1,139.2846934344098,1,-9.237833023071289,0.1667,0.3333,4.5,103.9063708534245,,9.255039882659911,213.39942389534508,3.5817163407802584,81.81625590467195,4.040804986487993,2,150.20202301444604,107.2,92.37931034482759,94.82413793103449,-0.07816659659147263,0.02991729974746704,"Michael Fulmer",13218,605242
